day,hour,time,obj_ht,energy_market,as_bess,as_hydro,startup_shutdown_cost,rough_zone_penalty,reg_adj_bess,reg_adj_hydro,energy_market_cum,as_bess_cum,as_hydro_cum,startup_shutdown_cost_cum,rough_zone_penalty_cum,reg_adj_bess_cum,reg_adj_hydro_cum,obj_cumulative
1,1,1,1222.116142353529,1220.3875423535292,1.7285999999999995,0.0,0.0,0.0,0.0,0.0,1220.3875423535292,1.7285999999999995,0.0,0.0,0.0,0.0,0.0,1222.116142353529
1,2,1,592.0451796897208,588.3885742897209,3.656605400000001,0.0,0.0,0.0,0.0,0.0,1808.7761166432501,5.3852054,0.0,0.0,0.0,0.0,0.0,1814.16132204325
1,3,1,430.0330476404376,427.5071476404376,2.5259,0.0,0.0,0.0,0.0,0.0,2236.283264283688,7.9111054,0.0,0.0,0.0,0.0,0.0,2244.1943696836875
1,4,1,520.9357499664916,510.97503136184037,9.960718604651165,0.0,0.0,0.0,0.0,0.0,2747.258295645528,17.871824004651167,0.0,0.0,0.0,0.0,0.0,2765.130119650179
1,5,1,746.0941358234999,708.9786315734999,37.11550425,0.0,0.0,0.0,0.0,0.0,3456.236927219028,54.98732825465117,0.0,0.0,0.0,0.0,0.0,3511.224255473679
1,6,1,500.08435312710833,485.3577531271083,14.726599999999996,0.0,0.0,0.0,0.0,0.0,3941.5946803461366,69.71392825465117,0.0,0.0,0.0,0.0,0.0,4011.3086086007875
1,7,1,597.393497290775,582.6668972907751,14.726599999999996,0.0,0.0,0.0,0.0,0.0,4524.261577636911,84.44052825465116,0.0,0.0,0.0,0.0,0.0,4608.7021058915625
1,8,1,450.6794704504292,419.0231697504292,31.656300700000003,0.0,0.0,0.0,0.0,0.0,4943.284747387341,116.09682895465116,0.0,0.0,0.0,0.0,0.0,5059.381576341992
1,9,1,371.77979991279176,332.43274676279174,39.34705315000001,0.0,0.0,0.0,0.0,0.0,5275.717494150133,155.44388210465115,0.0,0.0,0.0,0.0,0.0,5431.161376254783
1,10,1,351.0299008413916,298.5401243413916,52.48977650000001,0.0,0.0,0.0,0.0,0.0,5574.257618491524,207.93365860465116,0.0,0.0,0.0,0.0,0.0,5782.191277096174
1,11,1,320.8425927901406,278.1894581401406,42.653134650000005,0.0,0.0,0.0,0.0,0.0,5852.4470766316645,250.58679325465116,0.0,0.0,0.0,0.0,0.0,6103.033869886315
1,12,1,269.19668400472494,261.21678300472496,7.979901000000002,0.0,0.0,0.0,0.0,0.0,6113.663859636389,258.56669425465117,0.0,0.0,0.0,0.0,0.0,6372.2305538910405
1,13,1,276.32198152199834,268.01141439039384,8.310567131604484,0.0,0.0,0.0,0.0,0.0,6381.675274026783,266.87726138625567,0.0,0.0,0.0,0.0,0.0,6648.552535413039
1,14,1,266.44394413603754,258.2900977360375,8.1538464,0.0,0.0,0.0,0.0,0.0,6639.965371762821,275.0311077862557,0.0,0.0,0.0,0.0,0.0,6914.996479549076
1,15,1,412.00104123736253,398.68677443736254,13.3142668,0.0,0.0,0.0,0.0,0.0,7038.652146200183,288.3453745862557,0.0,0.0,0.0,0.0,0.0,7326.997520786438
1,16,1,472.15779590610003,467.85974590610004,4.29805,0.0,0.0,0.0,0.0,0.0,7506.511892106283,292.64342458625566,0.0,0.0,0.0,0.0,0.0,7799.155316692538
1,17,1,389.0034564821916,375.60345648219163,13.4,0.0,0.0,0.0,0.0,0.0,7882.115348588475,306.04342458625564,0.0,0.0,0.0,0.0,0.0,8188.1587731747295
1,18,1,366.0289503469626,356.58847279696255,9.440477550000002,0.0,0.0,0.0,0.0,0.0,8238.703821385438,315.48390213625567,0.0,0.0,0.0,0.0,0.0,8554.187723521693
1,19,1,471.75532237412915,460.88524572412916,10.87007665,0.0,0.0,0.0,0.0,0.0,8699.589067109566,326.35397878625565,0.0,0.0,0.0,0.0,0.0,9025.943045895821
1,20,1,666.6026357532004,663.855081781139,2.7475539720613456,0.0,0.0,0.0,0.0,0.0,9363.444148890705,329.101532758317,0.0,0.0,0.0,0.0,0.0,9692.545681649022
1,21,1,511.7205806632626,503.5599806632626,8.1606,0.0,0.0,0.0,0.0,0.0,9867.004129553967,337.26213275831697,0.0,0.0,0.0,0.0,0.0,10204.266262312285
1,22,1,652.6956445333834,649.8749445333834,2.8207,0.0,0.0,0.0,0.0,0.0,10516.87907408735,340.08283275831695,0.0,0.0,0.0,0.0,0.0,10856.961906845669
1,23,1,468.97216258840837,462.29572983840836,6.676432750000003,0.0,0.0,0.0,0.0,0.0,10979.174803925758,346.75926550831696,0.0,0.0,0.0,0.0,0.0,11325.934069434077
1,24,1,437.1745613340042,425.07436133400415,12.100200000000003,0.0,0.0,0.0,0.0,0.0,11404.249165259762,358.859465508317,0.0,0.0,0.0,0.0,0.0,11763.108630768082
2,1,1,429.6363422804,427.77181603040003,1.8645262500000006,0.0,0.0,0.0,0.0,0.0,11832.020981290161,360.72399175831697,0.0,0.0,0.0,0.0,0.0,12192.744973048482
2,2,1,356.3665705089796,353.87389272754916,2.492677781430422,0.0,0.0,0.0,0.0,0.0,12185.894874017711,363.2166695397474,0.0,0.0,0.0,0.0,0.0,12549.111543557461
2,3,1,345.5751337789667,338.1607328789667,7.414400900000001,0.0,0.0,0.0,0.0,0.0,12524.055606896678,370.63107043974736,0.0,0.0,0.0,0.0,0.0,12894.686677336427
