day,hour,time,res_id,UnitGroup,Unit_Category,Unit_Type,p_R_kht,p_Rspill_kht
1,1,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,1,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,1,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,1,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,2,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,2,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,2,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,2,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,3,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,3,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,3,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,3,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,4,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,4,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,4,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,4,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,5,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,5,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,5,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,5,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,6,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,6,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,6,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,6,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,7,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,7,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,7,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,7,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,8,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,8,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,8,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,8,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,9,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,9,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,9,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,9,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,10,1,RES_4_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,10,1,RES_2_PV,PV_group,RENEWABLE,PV,0.0,0.0
1,10,1,RES_3_WIND,wind_farm,RENEWABLE,WIND,0.0,0.0
1,10,1,RES_1_PV,PV_group,RENEWABLE,PV,0.0,0.0
