day,hour,time,unit_id,UnitGroup,Unit_Category,Unit_Type,u_B_iht,p_B_D_iht,p_B_C_iht,e_B_iht,r_RU_D_iht,r_RD_D_iht,r_RU_C_iht,r_RD_C_iht,r_RU_iht,r_RD_iht,r_SR_D_iht,r_SR_C_iht,r_SR_iht
1,1,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,0.0,0.0,100.0,95.0,0.0,0.0,90.25,0.0,90.25,0.0,0.0,0.0,0.0
1,2,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,95.0,90.25000000000001,0.0,0.0,0.0,90.25000000000001,0.0,0.0,0.0,0.0
1,3,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,0.0,0.0,100.0,190.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1,4,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,5,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,6,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,7,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,8,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,9,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,10,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,11,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,-0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,12,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,-0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,13,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,-0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,14,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,-0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,15,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,16,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,-0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,17,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,0.0,0.0,190.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,18,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,65.92100566072,0.0,120.6094677255579,34.07899433928,65.92100566072,0.0,0.0,34.07899433928,65.92100566072,0.0,0.0,0.0
1,19,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,-0.0,0.0,120.6094677255579,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,20,1,2,battery_LFP_100MW_8H_S,STORAGE,BATTERY,1.0,-0.0,0.0,120.6094677255579,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
