day,hour,time,p_B_DT_ht,p_B_CT_ht,p_Gr_St_ht,p_G_ht,p_P_ht,p_GB_ht,p_G_Gr_ht,p_R_ht,p_R_Gr_ht,p_R_St_ht,q_G_jht,q_P_jht,q_P_TOT_jht,e_H_ht,LMP,Reg Up Price,Reg Dn Price,Spin Price
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45090.591368023255,25.9683,2.7591199999999994,1.2899999999999998,1.4941825
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45082.18273604651,25.2977,4.359999999999998,2.7288100000000006,0.022500000000000003
1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45073.774104069766,34.8648,1.8849999999999998,2.5,0.12999999999999998
1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45065.36547209302,24.0271,4.544999999999999,7.994999999999998,0.14999999999999997
1.0,5.0,1.0,0.0,0.0,277.8140403600653,0.0,277.8140403600653,0.0,0.0,0.0,0.0,0.0,0.0,209.88814288583754,7462.172276786684,45673.66687398375,19.4104,7.4918525,27.6981375,0.215
1.0,6.0,1.0,0.0,0.0,282.0016116627909,0.0,282.0016116627909,0.0,0.0,0.0,0.0,0.0,0.0,322.3670288898561,7574.651162790702,46291.264075411666,18.4619,8.9975,10.989999999999997,0.25
1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46282.85544343492,25.7486,4.3500000000000005,10.989999999999997,0.08999999999999998
1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46274.446811458176,25.9053,3.7695600000000002,23.624105,0.08999999999999998
1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46266.03817948143,24.9469,4.752500000000001,29.363472500000004,1.5600000000000003
1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46257.629547504686,22.7937,6.140000000000001,39.17147500000001,0.0
1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46249.22091552794,21.5032,6.09,31.830697500000003,0.08999999999999998
1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46240.8122835512,21.0663,5.955150000000001,2.5025,0.08999999999999998
1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46232.40365157445,22.6134,0.7199999999999999,10.69889,0.08999999999999998
